trial_turn	event_id	turn_id	trace_id	session_id	user_subject	event_sequence	event_type	payload_json	created_at
1	7d04f673-8139-4ed4-b845-e034ce142318	0b5c8222-768f-4e66-8f9a-7d757bc616f2	0b467aea-0f88-414c-993f-af422915670f	ej8iMTo41oGwSRgRxfuP4sqfZ3kKl3Qf81ld5Aetcq0	eval-fa9d992e-1aaf-48b7-bd93-a961d9fa90c7	1	USER_INPUT	{"accepted": true}	2026-08-29 11:06:02.969572
1	501e8547-3d35-4d9b-9a7f-262c293ea89d	0b5c8222-768f-4e66-8f9a-7d757bc616f2	0b467aea-0f88-414c-993f-af422915670f	ej8iMTo41oGwSRgRxfuP4sqfZ3kKl3Qf81ld5Aetcq0	eval-fa9d992e-1aaf-48b7-bd93-a961d9fa90c7	2	ROUTING_DECISION	{"tier": "standard", "signals": {"complex": false, "chitchat": false, "highRisk": true, "publicFaq": false, "privateAction": true}, "attemptLimit": 16}	2026-08-29 11:06:03.259580
1	e052a4d8-e334-4540-82ac-364b51671185	0b5c8222-768f-4e66-8f9a-7d757bc616f2	0b467aea-0f88-414c-993f-af422915670f	ej8iMTo41oGwSRgRxfuP4sqfZ3kKl3Qf81ld5Aetcq0	eval-fa9d992e-1aaf-48b7-bd93-a961d9fa90c7	3	BUDGET_CHARGED	{"kind": "model_http", "limit": 16, "target": "primary", "attempt": 1}	2026-08-29 11:06:03.260142
1	3b3d27a9-3aa5-46e7-ae6d-d72f6fa2fa46	0b5c8222-768f-4e66-8f9a-7d757bc616f2	0b467aea-0f88-414c-993f-af422915670f	ej8iMTo41oGwSRgRxfuP4sqfZ3kKl3Qf81ld5Aetcq0	eval-fa9d992e-1aaf-48b7-bd93-a961d9fa90c7	4	CIRCUIT_OUTCOME	{"state": "closed", "provider": "primary"}	2026-08-29 11:06:03.260563
1	7dd83b4c-409e-4b78-9c37-99cba4de9faa	0b5c8222-768f-4e66-8f9a-7d757bc616f2	0b467aea-0f88-414c-993f-af422915670f	ej8iMTo41oGwSRgRxfuP4sqfZ3kKl3Qf81ld5Aetcq0	eval-fa9d992e-1aaf-48b7-bd93-a961d9fa90c7	5	MODEL_OUTCOME	{"alias": "support-standard-primary", "result": "ok", "provider": "primary"}	2026-08-29 11:06:03.260969
1	d26a708a-3dd3-4998-a671-3e24860b07ff	0b5c8222-768f-4e66-8f9a-7d757bc616f2	0b467aea-0f88-414c-993f-af422915670f	ej8iMTo41oGwSRgRxfuP4sqfZ3kKl3Qf81ld5Aetcq0	eval-fa9d992e-1aaf-48b7-bd93-a961d9fa90c7	6	TOOL_LIFECYCLE	{"tool": "actions.refund.prepare", "state": "requested"}	2026-08-29 11:06:03.261424
1	21c7e0db-e8d8-4afc-b439-b28257f097ff	0b5c8222-768f-4e66-8f9a-7d757bc616f2	0b467aea-0f88-414c-993f-af422915670f	ej8iMTo41oGwSRgRxfuP4sqfZ3kKl3Qf81ld5Aetcq0	eval-fa9d992e-1aaf-48b7-bd93-a961d9fa90c7	7	BUDGET_CHARGED	{"kind": "identity_http", "limit": 16, "target": "refund:create", "attempt": 2}	2026-08-29 11:06:03.261808
1	31352218-34f6-4e21-91b9-871ff932bab0	0b5c8222-768f-4e66-8f9a-7d757bc616f2	0b467aea-0f88-414c-993f-af422915670f	ej8iMTo41oGwSRgRxfuP4sqfZ3kKl3Qf81ld5Aetcq0	eval-fa9d992e-1aaf-48b7-bd93-a961d9fa90c7	8	BUDGET_CHARGED	{"kind": "tool_http", "limit": 16, "target": "actions.refund.prepare", "attempt": 3}	2026-08-29 11:06:03.262270
1	0f711c87-1344-4e9d-b31b-fd37dd98bd56	0b5c8222-768f-4e66-8f9a-7d757bc616f2	0b467aea-0f88-414c-993f-af422915670f	ej8iMTo41oGwSRgRxfuP4sqfZ3kKl3Qf81ld5Aetcq0	eval-fa9d992e-1aaf-48b7-bd93-a961d9fa90c7	9	TOOL_LIFECYCLE	{"tool": "actions.refund.prepare", "state": "succeeded"}	2026-08-29 11:06:03.262644
1	cdef6faa-bd5b-42bb-a652-ec8aee6186e1	0b5c8222-768f-4e66-8f9a-7d757bc616f2	0b467aea-0f88-414c-993f-af422915670f	ej8iMTo41oGwSRgRxfuP4sqfZ3kKl3Qf81ld5Aetcq0	eval-fa9d992e-1aaf-48b7-bd93-a961d9fa90c7	10	ACTION_PREPARED	{"expiresAt": "2026-08-29T11:21:03.249994Z", "actionType": "REFUND_REQUEST", "targetVersion": 2, "pendingActionId": "80466d87-4dd9-48b9-b2fa-282d146cf7c7", "argumentCommitment": "75a0fc0ef969621eeb54d8518fb13b1ade14fc91a190538fa302ddc2a49fe22f"}	2026-08-29 11:06:03.262952
