trial_turn	event_id	turn_id	trace_id	session_id	user_subject	event_sequence	event_type	payload_json	created_at
1	41548579-7424-40d4-91d1-daf301018307	8230c5a6-0d29-4cee-be9e-3b7ebea27f57	6055bcc3-c2aa-47ba-96ff-1d6f8e7e3be8	8lmvh4fa-jhOJhoHm8XNh1f8rE_nIehynrP41qkI3ac	eval-496ccb37-22c6-4cf6-b6ef-e361faa64c05	1	USER_INPUT	{"accepted": true}	2026-08-29 18:41:56.310487
1	f6f27499-a24c-4a1b-aefe-0b41afeba82f	8230c5a6-0d29-4cee-be9e-3b7ebea27f57	6055bcc3-c2aa-47ba-96ff-1d6f8e7e3be8	8lmvh4fa-jhOJhoHm8XNh1f8rE_nIehynrP41qkI3ac	eval-496ccb37-22c6-4cf6-b6ef-e361faa64c05	2	ROUTING_DECISION	{"tier": "standard", "signals": {"complex": false, "chitchat": false, "highRisk": true, "publicFaq": false, "privateAction": true}, "attemptLimit": 16}	2026-08-29 18:41:56.576293
1	1cd6f586-62ac-4027-b13d-971cd62c7b48	8230c5a6-0d29-4cee-be9e-3b7ebea27f57	6055bcc3-c2aa-47ba-96ff-1d6f8e7e3be8	8lmvh4fa-jhOJhoHm8XNh1f8rE_nIehynrP41qkI3ac	eval-496ccb37-22c6-4cf6-b6ef-e361faa64c05	3	BUDGET_CHARGED	{"kind": "model_http", "limit": 16, "target": "primary", "attempt": 1}	2026-08-29 18:41:56.576544
1	fbe70618-0a24-4204-bbbb-8dfcf2bb3614	8230c5a6-0d29-4cee-be9e-3b7ebea27f57	6055bcc3-c2aa-47ba-96ff-1d6f8e7e3be8	8lmvh4fa-jhOJhoHm8XNh1f8rE_nIehynrP41qkI3ac	eval-496ccb37-22c6-4cf6-b6ef-e361faa64c05	4	CIRCUIT_OUTCOME	{"state": "closed", "provider": "primary"}	2026-08-29 18:41:56.576740
1	7878094a-9058-4f29-b411-b84adafdce02	8230c5a6-0d29-4cee-be9e-3b7ebea27f57	6055bcc3-c2aa-47ba-96ff-1d6f8e7e3be8	8lmvh4fa-jhOJhoHm8XNh1f8rE_nIehynrP41qkI3ac	eval-496ccb37-22c6-4cf6-b6ef-e361faa64c05	5	MODEL_OUTCOME	{"alias": "support-standard-primary", "result": "ok", "provider": "primary"}	2026-08-29 18:41:56.576945
1	ed2d7d4c-6631-4bf4-804b-5500e676ff18	8230c5a6-0d29-4cee-be9e-3b7ebea27f57	6055bcc3-c2aa-47ba-96ff-1d6f8e7e3be8	8lmvh4fa-jhOJhoHm8XNh1f8rE_nIehynrP41qkI3ac	eval-496ccb37-22c6-4cf6-b6ef-e361faa64c05	6	TOOL_LIFECYCLE	{"tool": "actions.refund.prepare", "state": "requested"}	2026-08-29 18:41:56.577240
1	0a883999-400b-488a-a23d-7479eca6bcde	8230c5a6-0d29-4cee-be9e-3b7ebea27f57	6055bcc3-c2aa-47ba-96ff-1d6f8e7e3be8	8lmvh4fa-jhOJhoHm8XNh1f8rE_nIehynrP41qkI3ac	eval-496ccb37-22c6-4cf6-b6ef-e361faa64c05	7	BUDGET_CHARGED	{"kind": "identity_http", "limit": 16, "target": "refund:create", "attempt": 2}	2026-08-29 18:41:56.577438
1	e97f3172-dc71-4eb7-a98c-14466e59f2cb	8230c5a6-0d29-4cee-be9e-3b7ebea27f57	6055bcc3-c2aa-47ba-96ff-1d6f8e7e3be8	8lmvh4fa-jhOJhoHm8XNh1f8rE_nIehynrP41qkI3ac	eval-496ccb37-22c6-4cf6-b6ef-e361faa64c05	8	BUDGET_CHARGED	{"kind": "tool_http", "limit": 16, "target": "actions.refund.prepare", "attempt": 3}	2026-08-29 18:41:56.577675
1	6f0b55fa-f003-40a0-8ddc-6287262dbbfb	8230c5a6-0d29-4cee-be9e-3b7ebea27f57	6055bcc3-c2aa-47ba-96ff-1d6f8e7e3be8	8lmvh4fa-jhOJhoHm8XNh1f8rE_nIehynrP41qkI3ac	eval-496ccb37-22c6-4cf6-b6ef-e361faa64c05	9	TOOL_LIFECYCLE	{"tool": "actions.refund.prepare", "state": "succeeded"}	2026-08-29 18:41:56.577870
1	6a78d22d-4260-44e7-827f-d744bd7d7e4a	8230c5a6-0d29-4cee-be9e-3b7ebea27f57	6055bcc3-c2aa-47ba-96ff-1d6f8e7e3be8	8lmvh4fa-jhOJhoHm8XNh1f8rE_nIehynrP41qkI3ac	eval-496ccb37-22c6-4cf6-b6ef-e361faa64c05	10	ACTION_PREPARED	{"expiresAt": "2026-08-29T18:56:56.569135Z", "actionType": "REFUND_REQUEST", "targetVersion": 2, "pendingActionId": "30a316be-9080-4b24-b91e-f32c62b1602b", "argumentCommitment": "fec30205edbaa67d494b35497f27401e219c45328e84b78a4798e739b8c3709b"}	2026-08-29 18:41:56.578050
