trial_turn	event_id	turn_id	trace_id	session_id	user_subject	event_sequence	event_type	payload_json	created_at
1	a34a5233-0bb9-4720-a5a3-e144c3458e5c	2a45d32d-b39b-4c2d-ae3b-515cc423b36f	e06485a9-6c47-4cdc-9a1e-f64dbe3c1ae7	zyPYl1LqOyj30OHR2fpEpUrnvOuT3I8YQGo8rt3aLKU	eval-d00b1a0f-0511-46d8-9dae-e5239f79e656	1	USER_INPUT	{"accepted": true}	2026-08-29 18:42:52.599061
1	8fec071a-201a-47a5-bbf0-13cc98253882	2a45d32d-b39b-4c2d-ae3b-515cc423b36f	e06485a9-6c47-4cdc-9a1e-f64dbe3c1ae7	zyPYl1LqOyj30OHR2fpEpUrnvOuT3I8YQGo8rt3aLKU	eval-d00b1a0f-0511-46d8-9dae-e5239f79e656	2	ROUTING_DECISION	{"tier": "standard", "signals": {"complex": false, "chitchat": false, "highRisk": true, "publicFaq": false, "privateAction": true}, "attemptLimit": 16}	2026-08-29 18:42:57.796778
1	8e918575-27e0-4675-8b90-83f6e3938a3c	2a45d32d-b39b-4c2d-ae3b-515cc423b36f	e06485a9-6c47-4cdc-9a1e-f64dbe3c1ae7	zyPYl1LqOyj30OHR2fpEpUrnvOuT3I8YQGo8rt3aLKU	eval-d00b1a0f-0511-46d8-9dae-e5239f79e656	3	BUDGET_CHARGED	{"kind": "model_http", "limit": 16, "target": "primary", "attempt": 1}	2026-08-29 18:42:57.797890
1	6be3909f-1192-4f95-8c6e-4a73592b496b	2a45d32d-b39b-4c2d-ae3b-515cc423b36f	e06485a9-6c47-4cdc-9a1e-f64dbe3c1ae7	zyPYl1LqOyj30OHR2fpEpUrnvOuT3I8YQGo8rt3aLKU	eval-d00b1a0f-0511-46d8-9dae-e5239f79e656	4	CIRCUIT_OUTCOME	{"state": "closed", "provider": "primary"}	2026-08-29 18:42:57.798558
1	f390de6b-08d3-4db9-b92b-7a01802ad85e	2a45d32d-b39b-4c2d-ae3b-515cc423b36f	e06485a9-6c47-4cdc-9a1e-f64dbe3c1ae7	zyPYl1LqOyj30OHR2fpEpUrnvOuT3I8YQGo8rt3aLKU	eval-d00b1a0f-0511-46d8-9dae-e5239f79e656	5	MODEL_OUTCOME	{"alias": "gpt-5.4", "result": "ok", "provider": "primary"}	2026-08-29 18:42:57.799190
1	244d552c-92dc-4db5-af13-9aefde7fac42	2a45d32d-b39b-4c2d-ae3b-515cc423b36f	e06485a9-6c47-4cdc-9a1e-f64dbe3c1ae7	zyPYl1LqOyj30OHR2fpEpUrnvOuT3I8YQGo8rt3aLKU	eval-d00b1a0f-0511-46d8-9dae-e5239f79e656	6	AGENT_OUTCOME	{"outcome": "completed"}	2026-08-29 18:42:57.799830
1	a0fd57c0-ca64-4a75-937b-50a37c136f61	2a45d32d-b39b-4c2d-ae3b-515cc423b36f	e06485a9-6c47-4cdc-9a1e-f64dbe3c1ae7	zyPYl1LqOyj30OHR2fpEpUrnvOuT3I8YQGo8rt3aLKU	eval-d00b1a0f-0511-46d8-9dae-e5239f79e656	7	ASSISTANT_RESPONSE	{"outcome": "completed"}	2026-08-29 18:42:57.800383
1	ee904ffa-e65c-4c31-94b6-023a7bb09c7b	2a45d32d-b39b-4c2d-ae3b-515cc423b36f	e06485a9-6c47-4cdc-9a1e-f64dbe3c1ae7	zyPYl1LqOyj30OHR2fpEpUrnvOuT3I8YQGo8rt3aLKU	eval-d00b1a0f-0511-46d8-9dae-e5239f79e656	8	TURN_COMPLETED	{"outcome": "completed"}	2026-08-29 18:42:57.800932
2	bd0a6a69-32c2-4b38-a2c1-1d40b5f99fd4	d4e670d0-9afa-427a-88bf-c1b0f871bba1	16d48703-5bff-49cb-ac1e-3f64f4a28270	zyPYl1LqOyj30OHR2fpEpUrnvOuT3I8YQGo8rt3aLKU	eval-d00b1a0f-0511-46d8-9dae-e5239f79e656	1	USER_INPUT	{"accepted": true}	2026-08-29 18:42:57.844924
2	76be6238-365d-4746-b16d-4cfa9ce43819	d4e670d0-9afa-427a-88bf-c1b0f871bba1	16d48703-5bff-49cb-ac1e-3f64f4a28270	zyPYl1LqOyj30OHR2fpEpUrnvOuT3I8YQGo8rt3aLKU	eval-d00b1a0f-0511-46d8-9dae-e5239f79e656	2	ROUTING_DECISION	{"tier": "standard", "signals": {"complex": false, "chitchat": false, "highRisk": false, "publicFaq": false, "privateAction": false}, "attemptLimit": 16}	2026-08-29 18:43:00.501878
