trial_turn	event_id	turn_id	trace_id	session_id	user_subject	event_sequence	event_type	payload_json	created_at
1	5180c125-78ce-42d7-b2a6-fdd1ae3b32c9	39d6ec2c-9277-4482-8729-d343433b8cf4	e7f62d1a-b119-4179-bc06-8cf5e070fa1d	Xxgw9d4Bo3K-DAp_sInz1D26I5qlIynRVQEbZVW35ik	eval-72712934-9f99-4c0c-9219-6193e4b66a2b	1	USER_INPUT	{"accepted": true}	2026-08-29 18:43:21.339988
1	00777d41-ed78-497c-af6b-81b11161b58a	39d6ec2c-9277-4482-8729-d343433b8cf4	e7f62d1a-b119-4179-bc06-8cf5e070fa1d	Xxgw9d4Bo3K-DAp_sInz1D26I5qlIynRVQEbZVW35ik	eval-72712934-9f99-4c0c-9219-6193e4b66a2b	2	ROUTING_DECISION	{"tier": "standard", "signals": {"complex": false, "chitchat": false, "highRisk": true, "publicFaq": false, "privateAction": true}, "attemptLimit": 16}	2026-08-29 18:43:28.102933
1	e98d6773-528e-42c5-b65e-31d783f8a35d	39d6ec2c-9277-4482-8729-d343433b8cf4	e7f62d1a-b119-4179-bc06-8cf5e070fa1d	Xxgw9d4Bo3K-DAp_sInz1D26I5qlIynRVQEbZVW35ik	eval-72712934-9f99-4c0c-9219-6193e4b66a2b	3	BUDGET_CHARGED	{"kind": "model_http", "limit": 16, "target": "primary", "attempt": 1}	2026-08-29 18:43:28.103754
1	685d3a46-e947-4cae-8087-630c9a0e1fee	39d6ec2c-9277-4482-8729-d343433b8cf4	e7f62d1a-b119-4179-bc06-8cf5e070fa1d	Xxgw9d4Bo3K-DAp_sInz1D26I5qlIynRVQEbZVW35ik	eval-72712934-9f99-4c0c-9219-6193e4b66a2b	4	CIRCUIT_OUTCOME	{"state": "closed", "provider": "primary"}	2026-08-29 18:43:28.104361
1	fa479db5-0458-4f4b-8766-766307537a08	39d6ec2c-9277-4482-8729-d343433b8cf4	e7f62d1a-b119-4179-bc06-8cf5e070fa1d	Xxgw9d4Bo3K-DAp_sInz1D26I5qlIynRVQEbZVW35ik	eval-72712934-9f99-4c0c-9219-6193e4b66a2b	5	MODEL_OUTCOME	{"alias": "gpt-5.4", "result": "ok", "provider": "primary"}	2026-08-29 18:43:28.104977
1	36d1a0e4-dde2-4053-aad6-170e39e39f35	39d6ec2c-9277-4482-8729-d343433b8cf4	e7f62d1a-b119-4179-bc06-8cf5e070fa1d	Xxgw9d4Bo3K-DAp_sInz1D26I5qlIynRVQEbZVW35ik	eval-72712934-9f99-4c0c-9219-6193e4b66a2b	6	AGENT_OUTCOME	{"outcome": "completed"}	2026-08-29 18:43:28.105528
1	fbabee9b-b420-42b9-b5d0-6c71e92bebae	39d6ec2c-9277-4482-8729-d343433b8cf4	e7f62d1a-b119-4179-bc06-8cf5e070fa1d	Xxgw9d4Bo3K-DAp_sInz1D26I5qlIynRVQEbZVW35ik	eval-72712934-9f99-4c0c-9219-6193e4b66a2b	7	ASSISTANT_RESPONSE	{"outcome": "completed"}	2026-08-29 18:43:28.106063
1	260d894d-ed62-44b5-b397-07fa8d2b67f0	39d6ec2c-9277-4482-8729-d343433b8cf4	e7f62d1a-b119-4179-bc06-8cf5e070fa1d	Xxgw9d4Bo3K-DAp_sInz1D26I5qlIynRVQEbZVW35ik	eval-72712934-9f99-4c0c-9219-6193e4b66a2b	8	TURN_COMPLETED	{"outcome": "completed"}	2026-08-29 18:43:28.106604
2	4af79cac-a3a9-4568-a7f2-e0756398bbf4	3686ec2f-0108-4254-a7bd-8aa8fbe255fd	9c7522fa-2980-44cc-a3f9-47ff876c2b37	Xxgw9d4Bo3K-DAp_sInz1D26I5qlIynRVQEbZVW35ik	eval-72712934-9f99-4c0c-9219-6193e4b66a2b	1	USER_INPUT	{"accepted": true}	2026-08-29 18:43:28.147062
2	f228485e-71a4-46ec-bf49-351ba66e36b9	3686ec2f-0108-4254-a7bd-8aa8fbe255fd	9c7522fa-2980-44cc-a3f9-47ff876c2b37	Xxgw9d4Bo3K-DAp_sInz1D26I5qlIynRVQEbZVW35ik	eval-72712934-9f99-4c0c-9219-6193e4b66a2b	2	ROUTING_DECISION	{"tier": "standard", "signals": {"complex": false, "chitchat": false, "highRisk": false, "publicFaq": false, "privateAction": false}, "attemptLimit": 16}	2026-08-29 18:43:30.884529
2	4e962c44-9a82-4e75-84ce-f2b15fda3b16	3686ec2f-0108-4254-a7bd-8aa8fbe255fd	9c7522fa-2980-44cc-a3f9-47ff876c2b37	Xxgw9d4Bo3K-DAp_sInz1D26I5qlIynRVQEbZVW35ik	eval-72712934-9f99-4c0c-9219-6193e4b66a2b	3	BUDGET_CHARGED	{"kind": "model_http", "limit": 16, "target": "primary", "attempt": 1}	2026-08-29 18:43:30.885415
2	dafbe627-d54f-4317-864a-5564c2ca2707	3686ec2f-0108-4254-a7bd-8aa8fbe255fd	9c7522fa-2980-44cc-a3f9-47ff876c2b37	Xxgw9d4Bo3K-DAp_sInz1D26I5qlIynRVQEbZVW35ik	eval-72712934-9f99-4c0c-9219-6193e4b66a2b	4	CIRCUIT_OUTCOME	{"state": "closed", "provider": "primary"}	2026-08-29 18:43:30.886048
2	b75188b3-5fff-4a77-aaa1-5f673c2a397d	3686ec2f-0108-4254-a7bd-8aa8fbe255fd	9c7522fa-2980-44cc-a3f9-47ff876c2b37	Xxgw9d4Bo3K-DAp_sInz1D26I5qlIynRVQEbZVW35ik	eval-72712934-9f99-4c0c-9219-6193e4b66a2b	5	MODEL_OUTCOME	{"alias": "gpt-5.4", "result": "ok", "provider": "primary"}	2026-08-29 18:43:30.886667
