trial_turn	event_id	turn_id	trace_id	session_id	user_subject	event_sequence	event_type	payload_json	created_at
1	e1ba697d-2f5d-4567-b73a-562c538956c9	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	1	USER_INPUT	{"accepted": true}	2026-09-01 07:41:35.516893
1	ed8c7027-ae78-4d8f-92e6-b16e3929f5e8	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	2	CONTEXT_WINDOW	{"tokenBudget": 6144, "policyVersion": "session-context-v1", "includedTokens": 0, "tokenEstimator": "utf8-bytes-v1", "tokenWatermark": "low", "candidateTokens": 0, "includedTurnIds": [], "loadedTurnCount": 0, "olderTurnsAvailable": false, "omittedLoadedTurnCount": 0}	2026-09-01 07:41:35.780286
1	2bcec0ee-ce39-4138-90de-7e756d63f4cb	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	3	ROUTING_DECISION	{"tier": "standard", "signals": {"chitchat": false, "refundContext": true, "refundContextSource": "current"}, "toolProfile": "all", "attemptLimit": 16, "sessionPropagationEnabled": true}	2026-09-01 07:41:35.780576
1	0418b60f-0b66-4238-adbc-4e91b497c39b	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	4	BUDGET_CHARGED	{"kind": "model_http", "limit": 16, "target": "primary", "attempt": 1}	2026-09-01 07:41:35.780812
1	6b2ddb3e-2829-4cbc-bf1f-b694b0b7bc1f	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	5	CIRCUIT_OUTCOME	{"state": "closed", "provider": "primary"}	2026-09-01 07:41:35.781043
1	f4350f0f-43f1-47cc-87bf-37b36baefd37	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	6	MODEL_OUTCOME	{"alias": "support-standard-primary", "result": "ok", "provider": "primary"}	2026-09-01 07:41:35.781298
1	ca46a4c5-23c7-49bb-8862-aff45bd077aa	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	7	TOOL_LIFECYCLE	{"tool": "actions.refund.prepare", "state": "requested"}	2026-09-01 07:41:35.781518
1	ad3e9ca1-2857-4641-99b1-eb63afdeac27	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	8	BUDGET_CHARGED	{"kind": "identity_http", "limit": 16, "target": "refund:create", "attempt": 2}	2026-09-01 07:41:35.781749
1	a127d335-ba73-4ebe-9256-d0bbaed7ab59	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	9	BUDGET_CHARGED	{"kind": "tool_http", "limit": 16, "target": "actions.refund.prepare", "attempt": 3}	2026-09-01 07:41:35.781966
1	e3941d8e-18da-4469-8147-3edd1d4d19f7	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	10	TOOL_LIFECYCLE	{"tool": "actions.refund.prepare", "state": "succeeded"}	2026-09-01 07:41:35.782165
1	1d4e44ee-9fb4-4fe2-ad80-5dffdce1948e	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	11	ACTION_PREPARED	{"expiresAt": "2026-09-01T07:56:35.772786Z", "actionType": "REFUND_REQUEST", "targetVersion": 2, "pendingActionId": "ff4644c6-43a3-4e44-9462-6a61431b2993", "argumentCommitment": "399ac59af6f7ba2f8255b4f8159a92dae0ec82ec225a524ffb1dd6875e811629"}	2026-09-01 07:41:35.782374
1	363e89bf-6fa9-4e3b-8cb0-c46d812b2ba9	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	12	AGENT_OUTCOME	{"outcome": "action_pending"}	2026-09-01 07:41:35.782565
1	a7988c85-0c90-4f71-9ea3-0ab87e4290ca	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	13	ASSISTANT_RESPONSE	{"outcome": "action_pending"}	2026-09-01 07:41:35.783086
1	e37dbcd4-1078-4c55-91d3-196648c7553b	b96ced8e-8ecb-4b02-9f32-b6efe6992514	73159f98-5d15-4979-b9ad-adac3e25a701	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	14	TURN_COMPLETED	{"outcome": "action_pending"}	2026-09-01 07:41:35.783313
2	0a7cc292-91b4-4af5-8aa7-eb5e07e18a68	dc4ed30c-bf6d-4097-8624-722face8170d	41e772fd-29e5-4a02-bc29-c1ab1c6b0c48	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	1	USER_INPUT	{"accepted": true}	2026-09-01 07:41:35.799709
2	c6d740dd-db02-4afc-ab6c-a497000e6dbc	dc4ed30c-bf6d-4097-8624-722face8170d	41e772fd-29e5-4a02-bc29-c1ab1c6b0c48	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	2	ACTION_RECEIPT	{"outcome": "confirmed", "pendingActionId": "ff4644c6-43a3-4e44-9462-6a61431b2993"}	2026-09-01 07:41:36.089582
2	68ac166e-c76c-4890-80d9-83af82d8d40e	dc4ed30c-bf6d-4097-8624-722face8170d	41e772fd-29e5-4a02-bc29-c1ab1c6b0c48	OLXTFT6fnj8otdfQh1r_c_0HLR1eG3ewt_KKkegKizg	eval-6154d2d0-bc81-46d3-86d3-2b18ff8fa0b5	3	AGENT_OUTCOME	{"outcome": "action_completed"}	2026-09-01 07:41:36.089991
